pitch,roll,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,distance,time,jerk_x,jerk_y,jerk_z,is_running_backoff
0.0,0.0,98.13924,107.7138,10654.09,1.694011,1.794445,4.765286,2000.0,2024-01-12 16:27:04.833015,531.6718864529886,-2684.943137646876,11138.513138313234,False
0.0,0.0,-98.13924,38.29824,10125.1,-0.9659892,0.4644447,9.105286,2000.0,2024-01-12 16:27:05.088087,-769.5022581859239,-272.1410425291682,-2073.8850207000364,False
-2.0,0.0,325.535,124.4693,9268.174,-2.855989,0.8844448,2.665286,2000.0,2024-01-12 16:27:05.253305,2564.3346366618653,521.5597574114202,-5186.638259753777,False
-4.0,4.0,730.0602,742.0284,9971.904,-0.7559893,0.9544448,1.405286,2000.0,2024-01-12 16:27:05.433333,2247.0126869153687,3430.3502788455135,3909.003043970936,False
-1.0,0.0,275.2686,40.69188,10460.21,-0.05598922,-0.09555528,5.115286,2000.0,2024-01-12 16:27:05.613510,-2524.137931034483,-3892.486388384755,2710.146134079259,False
0.0,6.0,9.57456,1153.734,10407.55,1.344011,1.024445,5.535286,2000.0,2024-01-12 16:27:05.792716,-1482.6179927011372,6210.964588239232,-293.8517683559694,False
1.0,-6.0,-294.4177,-1043.627,9643.976,0.01401079,4.174445,3.715286,2000.0,2024-01-12 16:27:05.972822,-1687.8519316402567,-12200.3764449824,-4239.581135553501,False
0.0,-1.0,28.72368,-265.694,9512.325,-0.2659893,1.234445,6.655286,2000.0,2024-01-12 16:27:06.152964,1793.8147683494135,4318.443228120039,-730.8179103151949,False
1.0,0.0,-189.0976,167.5548,9610.465,-0.1959892,0.8844448,5.815286,2000.0,2024-01-12 16:27:06.333077,-1209.3590135081865,2405.427703719332,544.8801585671185,False
1.0,0.0,-306.3859,165.1612,9653.55,0.2940108,2.844445,4.415286,2000.0,2024-01-12 16:27:06.572408,-490.06731263396716,-10.001211710977651,180.0226464603379,False
-5.0,0.0,998.1479,83.7774,9701.423,-2.365989,-0.2355553,4.345286,2000.0,2024-01-12 16:27:06.752725,7234.66894413727,-451.3373669703911,265.4935474747329,False
0.0,-2.0,-86.17104,-536.1754,10517.65,0.5740108,-0.5855553,-0.624714,2000.0,2024-01-12 16:27:06.933255,-6006.308868332134,-3434.07079155819,4521.281781421365,False
5.0,3.0,-1084.319,591.2291,11137.61,-0.6159892,1.584445,3.435286,2000.0,2024-01-12 16:27:07.113025,-5552.361128108138,6271.3717527952385,3448.628803471107,False
-7.0,-2.0,1316.502,-394.9506,10421.91,-0.9659892,1.164445,4.415286,2000.0,2024-01-12 16:27:07.293184,13326.123035762852,-5473.940796740657,-3972.601979362678,False
4.0,1.0,-823.4122,215.4276,9758.87,-1.175989,2.284445,5.045286,2000.0,2024-01-12 16:27:07.472545,-11930.766443095212,3403.0709017010386,-3696.6787651719105,False
-1.0,3.0,332.716,686.9747,10821.65,-0.4059892,2.284445,-2.094714,2000.0,2024-01-12 16:27:07.669124,5881.2396034164385,2398.7663992593307,5406.37606254991,False
0.0,1.0,-31.11732,217.8212,9572.167,-3.625989,4.104445,2.805286,2000.0,2024-01-12 16:27:07.832642,-2225.0352866351104,-2869.12450005504,-7641.256620066293,False
7.0,4.0,-1117.83,665.4319,8949.82,-0.4059892,0.4644447,7.075286,2000.0,2024-01-12 16:27:08.072964,-4521.902613992892,1862.5456678955736,-2589.6380689241923,False
0.0,1.0,-62.23464,189.0976,8870.83,-4.255989,-0.7255552,5.045286,2000.0,2024-01-12 16:27:08.252007,5895.764481158158,-2660.4463732176073,-441.178934669324,False
2.0,2.0,-466.7598,430.8552,9481.208,0.2940108,-2.685555,3.715286,2000.0,2024-01-12 16:27:08.441342,-2136.557741569176,1276.8774922755963,3223.7990862756524,False
2.0,0.0,-414.0997,157.9802,10072.44,0.8540108,5.434444,6.235286,2000.0,2024-01-12 16:27:08.612060,308.46249370306583,-1598.3961855223233,3463.2083318689297,False
-1.0,1.0,308.7796,210.6403,9993.447,-1.245989,0.2544447,2.805286,2000.0,2024-01-12 16:27:08.792603,4003.917626271858,291.67622117722647,-437.53011747894067,False
-1.0,4.0,246.5449,713.3047,9150.886,0.01401079,1.234445,2.315286,2000.0,2024-01-12 16:27:08.972635,-345.6868778883754,2792.083629576964,-4680.0624333451815,False
4.0,2.0,-761.1776,517.0262,9883.34,-1.455989,0.1844447,3.085286,2000.0,2024-01-12 16:27:09.176566,-4941.487561969489,-962.4750528364987,3591.675615772,False
-8.0,0.0,1268.629,-59.841,8384.921,1.134011,3.474445,5.745286,2000.0,2024-01-12 16:27:09.392717,9390.687991265364,-2668.815781560113,-6932.278823600168,False
0.0,5.0,169.9484,1029.265,10359.67,4.284011,2.144445,7.985286,2000.0,2024-01-12 16:27:09.572887,-6098.021868235555,6044.879835710718,10960.476216906254,False
1.0,2.0,-339.8969,349.4714,9806.743,-1.525989,-0.3755553,1.755286,2000.0,2024-01-12 16:27:09.753078,-2829.4715052361107,-3772.6279336925822,-3068.560582936993,False
5.0,-1.0,-995.7543,-363.8333,10685.21,-0.7559893,-0.6555552,4.555286,2000.0,2024-01-12 16:27:09.932217,-3661.164793819324,-3981.8504066674486,4903.828870318573,False
-4.0,4.0,854.5295,868.8914,10457.81,2.114011,2.214445,5.255286,2000.0,2024-01-12 16:27:10.170404,7768.198096453626,5175.449121908417,-954.7120539743967,False
-1.0,0.0,253.7258,45.47916,10804.89,0.9940108,3.404445,3.225286,2000.0,2024-01-12 16:27:10.292579,-4917.566605279311,-6739.613177818703,2840.8430529977486,False
-1.0,2.0,270.4813,469.1534,9584.135,1.344011,-1.495555,5.885286,2000.0,2024-01-12 16:27:10.532603,69.80760257307597,1765.1328200513283,-5085.970569609703,False
-3.0,0.0,634.3146,-93.35196,9287.323,-2.505989,-2.265555,-0.694714,2000.0,2024-01-12 16:27:10.712734,2019.8261265412395,-3122.757104551687,-1647.756355097123,False
0.0,-1.0,98.13924,-213.034,9390.25,-0.6159892,3.964445,3.435286,2000.0,2024-01-12 16:27:10.892898,-2976.0404964365807,-664.2949756888169,571.2961523944833,False
